"model","prediction"
"mod_1",0.330642757432562
"mod_1",0.309424282324595
"mod_1",0.375473613450386
"mod_1",0.299216411605721
"mod_1",0.233901840255986
"mod_1",0.351754767991831
"mod_1",0.317621134854189
"mod_1",0.371721573026429
"mod_1",0.34882996195794
"mod_1",0.336463350049826
"mod_1",0.337830108155876
"mod_1",0.297591126790906
"mod_1",0.315406068495529
"mod_1",0.315049126142288
"mod_1",0.308828484715267
"mod_1",0.294828042803838
"mod_1",0.254522607976741
"mod_1",0.334751285943337
"mod_1",0.320619988316808
"mod_1",0.364306567259178
"mod_1",0.354412057621819
"mod_1",0.302032684923714
"mod_1",0.377120623249597
"mod_1",0.31911932639965
"mod_1",0.369313091606097
"mod_1",0.33985240098877
"mod_1",0.34548898566396
"mod_1",0.326944065442702
"mod_1",0.372285198559916
"mod_1",0.259411833722654
"mod_1",0.375859314802572
"mod_1",0.354049042574467
"mod_1",0.327099214778371
"mod_1",0.342246417343522
"mod_1",0.328460219193517
"mod_1",0.246404035040524
"mod_1",0.405249935245794
"mod_1",0.296809377696397
"mod_1",0.383981663464762
"mod_1",0.27544012625868
"mod_1",0.428877016802466
"mod_1",0.35904045370614
"mod_1",0.390909757780368
"mod_1",0.355582814343923
"mod_1",0.372423393785774
"mod_1",0.285838917500525
"mod_1",0.335317073102757
"mod_1",0.369969272366096
"mod_1",0.342930368909591
"mod_1",0.330460497115445
"mod_1",0.331830533054677
"mod_1",0.295903373067765
"mod_1",0.314797801430358
"mod_1",0.348364020222681
"mod_1",0.271807497200805
"mod_1",0.295126694582692
"mod_1",0.329703254703596
"mod_1",0.400735306021878
"mod_1",0.299898351055019
"mod_1",0.35513485487541
"mod_1",0.411756669294359
"mod_1",0.361276732867978
"mod_1",0.256378792295139
"mod_1",0.292518316889043
"mod_1",0.459330502948781
"mod_1",0.311800948577047
"mod_1",0.271921968344291
"mod_1",0.414846902166522
"mod_1",0.311782001932778
"mod_1",0.270423165432336
"mod_1",0.381118438952384
"mod_1",0.321458396484216
"mod_1",0.228555769286498
"mod_1",0.276892331348037
"mod_1",0.418302346819891
"mod_1",0.318060260689828
"mod_1",0.370917563082576
"mod_1",0.299463956113347
"mod_1",0.374683553100068
"mod_1",0.345223807428777
"mod_1",0.293527616361168
"mod_1",0.39597914963515
"mod_1",0.369775145862373
"mod_1",0.366208647082852
"mod_1",0.34519074056642
"mod_1",0.34438086995582
"mod_1",0.315983221347587
"mod_1",0.319592234016119
"mod_1",0.28391777434846
"mod_1",0.311699856416567
"mod_1",0.250906954699858
"mod_1",0.352235504810878
"mod_1",0.364468536040737
"mod_1",0.306376853978063
"mod_1",0.344311947350389
"mod_1",0.411753524327695
"mod_1",0.363005659622157
"mod_1",0.306086284772798
"mod_1",0.354428070816467
"mod_1",0.234995014694967
"mod_1",0.311868364184394
"mod_1",0.319985172436924
"mod_1",0.316093108534367
"mod_1",0.393773275984368
"mod_1",0.310447839250516
"mod_1",0.348479468553122
"mod_1",0.394611668984305
"mod_1",0.323521610478562
"mod_1",0.293737079673332
"mod_1",0.32977345393861
"mod_1",0.368165494517777
"mod_1",0.337252169191204
"mod_1",0.341885142030502
"mod_1",0.373229797388539
"mod_1",0.321352846812157
"mod_1",0.397133247813576
"mod_1",0.368967056132588
"mod_1",0.333533002364669
"mod_1",0.252165884977418
"mod_1",0.374551945747193
"mod_1",0.358905417751462
"mod_1",0.368709168834809
"mod_1",0.339134931097932
"mod_1",0.328829790681778
"mod_1",0.319641747457832
