Broken,Temp,Flight
1,53,1
1,53,1
0,53,1
0,53,1
0,53,1
0,53,1
1,57,2
0,57,2
0,57,2
0,57,2
0,57,2
0,57,2
1,58,3
0,58,3
0,58,3
0,58,3
0,58,3
0,58,3
1,63,4
0,63,4
0,63,4
0,63,4
0,63,4
0,63,4
0,66,5
0,66,5
0,66,5
0,66,5
0,66,5
0,66,5
0,67,6
0,67,6
0,67,6
0,67,6
0,67,6
0,67,6
0,67,7
0,67,7
0,67,7
0,67,7
0,67,7
0,67,7
0,67,8
0,67,8
0,67,8
0,67,8
0,67,8
0,67,8
0,68,9
0,68,9
0,68,9
0,68,9
0,68,9
0,68,9
0,69,10
0,69,10
0,69,10
0,69,10
0,69,10
0,69,10
0,70,11
0,70,11
0,70,11
0,70,11
0,70,11
0,70,11
0,70,12
0,70,12
0,70,12
0,70,12
0,70,12
0,70,12
1,70,13
0,70,13
0,70,13
0,70,13
0,70,13
0,70,13
1,70,14
0,70,14
0,70,14
0,70,14
0,70,14
0,70,14
0,72,15
0,72,15
0,72,15
0,72,15
0,72,15
0,72,15
0,73,16
0,73,16
0,73,16
0,73,16
0,73,16
0,73,16
0,75,17
0,75,17
0,75,17
0,75,17
0,75,17
0,75,17
1,75,18
1,75,18
0,75,18
0,75,18
0,75,18
0,75,18
0,76,19
0,76,19
0,76,19
0,76,19
0,76,19
0,76,19
0,76,20
0,76,20
0,76,20
0,76,20
0,76,20
0,76,20
0,78,21
0,78,21
0,78,21
0,78,21
0,78,21
0,78,21
0,79,22
0,79,22
0,79,22
0,79,22
0,79,22
0,79,22
0,81,23
0,81,23
0,81,23
0,81,23
0,81,23
0,81,23
