date,season,year,month,day_of_week,weekend,holiday,temp_actual,temp_feel,humidity,windspeed,weather_cat,riders_casual,riders_registered,riders_total
1/1/11,winter,2011,Jan,Sat,TRUE,no,57.3995246,64.72625,0.805833,10.749882,categ2,331,654,985
1/2/11,winter,2011,Jan,Sun,TRUE,no,58.8246764,63.83651,0.696087,16.652113,categ2,131,670,801
1/3/11,winter,2011,Jan,Mon,FALSE,no,46.4916632,49.04645,0.437273,16.636703,categ1,120,1229,1349
1/4/11,winter,2011,Jan,Tue,FALSE,no,46.76,51.09098,0.590435,10.739832,categ1,108,1454,1562
1/5/11,winter,2011,Jan,Wed,FALSE,no,48.7494266,52.6343,0.436957,12.5223,categ1,82,1518,1600
1/6/11,winter,2011,Jan,Thu,FALSE,no,47.0808824,52.98881,0.518261,6.0008684,categ1,88,1518,1606
1/7/11,winter,2011,Jan,Fri,FALSE,no,46.5033236,50.79551,0.498696,11.304642,categ2,148,1362,1510
1/8/11,winter,2011,Jan,Sat,TRUE,no,44.177,46.60286,0.535833,17.875868,categ2,68,891,959
1/9/11,winter,2011,Jan,Sun,TRUE,no,42.2089754,42.45575,0.434167,24.25065,categ1,54,768,822
1/10/11,winter,2011,Jan,Mon,FALSE,no,43.1314754,45.57992,0.482917,14.958889,categ1,41,1280,1321
1/11/11,winter,2011,Jan,Tue,FALSE,no,44.4789158,49.23176,0.686364,8.182844,categ2,43,1220,1263
1/12/11,winter,2011,Jan,Wed,FALSE,no,44.7472526,46.44257,0.599545,20.410009,categ1,25,1137,1162
1/13/11,winter,2011,Jan,Thu,FALSE,no,44.177,45.57947,0.470417,20.167,categ1,38,1368,1406
1/14/11,winter,2011,Jan,Fri,FALSE,no,43.872206,48.95717,0.537826,8.478716,categ1,54,1367,1421
1/15/11,winter,2011,Jan,Sat,TRUE,no,49.2199754,54.33008,0.49875,10.583521,categ2,222,1026,1248
1/16/11,winter,2011,Jan,Sun,TRUE,no,49.0970246,53.07953,0.48375,12.625011,categ1,251,953,1204
1/17/11,winter,2011,Jan,Mon,FALSE,yes,44.9764754,47.90939,0.5375,12.999139,categ2,117,883,1000
1/18/11,winter,2011,Jan,Tue,FALSE,no,47.9900246,52.90997,0.861667,9.833925,categ2,9,674,683
1/19/11,winter,2011,Jan,Wed,FALSE,no,53.5624412,58.85798,0.741739,13.957239,categ2,78,1572,1650
1/20/11,winter,2011,Jan,Thu,FALSE,no,51.3110246,54.9545,0.538333,13.125568,categ2,83,1844,1927
1/21/11,winter,2011,Jan,Fri,FALSE,no,45.0995,46.20497,0.457083,23.667214,categ1,75,1468,1543
1/22/11,winter,2011,Jan,Sat,TRUE,no,36.36382352,39.116264,0.4,11.52199,categ1,93,888,981
1/23/11,winter,2011,Jan,Sun,TRUE,no,39.12330146,40.895519,0.436522,16.5222,categ1,150,836,986
1/24/11,winter,2011,Jan,Mon,FALSE,no,39.18747794,42.6137,0.491739,10.60811,categ1,86,1330,1416
1/25/11,winter,2011,Jan,Tue,FALSE,no,48.4926764,53.10734,0.616957,8.696332,categ2,186,1799,1985
1/26/11,winter,2011,Jan,Wed,FALSE,no,48.0515,50.324,0.8625,19.68795,categ3,34,472,506
1/27/11,winter,2011,Jan,Thu,FALSE,no,46.391,51.773,0.6875,7.627079,categ1,15,416,431
1/28/11,winter,2011,Jan,Fri,FALSE,no,47.0166764,52.09853,0.793043,8.2611,categ2,38,1129,1167
1/29/11,winter,2011,Jan,Sat,TRUE,no,46.5033236,51.09134,0.651739,9.739455,categ1,123,975,1098
1/30/11,winter,2011,Jan,Sun,TRUE,no,47.9793236,54.52898,0.722174,4.9568342,categ1,140,956,1096
1/31/11,winter,2011,Jan,Mon,FALSE,no,45.3454754,48.7625,0.60375,12.541864,categ2,42,1459,1501
2/1/11,winter,2011,Feb,Tue,FALSE,no,46.1824412,53.1077,0.829565,3.565271,categ2,47,1313,1360
2/2/11,winter,2011,Feb,Wed,FALSE,no,51.188,54.89753,0.775417,17.708636,categ2,72,1454,1526
2/3/11,winter,2011,Feb,Thu,FALSE,no,45.7974266,48.00902,0.437826,18.609384,categ1,61,1489,1550
2/4/11,winter,2011,Feb,Fri,FALSE,no,47.5942352,52.57283,0.585217,8.565213,categ2,88,1620,1708
2/5/11,winter,2011,Feb,Sat,TRUE,no,49.2199754,53.87522,0.929167,10.792293,categ2,100,905,1005
2/6/11,winter,2011,Feb,Sun,TRUE,no,53.0944754,58.25039,0.568333,9.5006,categ1,354,1269,1623
2/7/11,winter,2011,Feb,Mon,FALSE,no,52.0490246,59.32922,0.738333,3.0423561,categ1,120,1592,1712
2/8/11,winter,2011,Feb,Tue,FALSE,no,48.2974754,49.84214,0.537917,24.25065,categ1,64,1466,1530
2/9/11,winter,2011,Feb,Wed,FALSE,no,41.9469854,44.98547,0.494783,12.652213,categ2,53,1552,1605
2/10/11,winter,2011,Feb,Thu,FALSE,no,42.6528824,45.45932,0.437391,14.869645,categ1,47,1491,1538
2/11/11,winter,2011,Feb,Fri,FALSE,no,45.9549158,51.21581,0.506364,7.27285,categ1,149,1597,1746
2/12/11,winter,2011,Feb,Sat,TRUE,no,48.4205,52.96586,0.544167,13.625589,categ1,288,1184,1472
2/13/11,winter,2011,Feb,Sun,TRUE,no,55.3593236,61.17017,0.457391,17.479161,categ1,397,1192,1589
2/14/11,winter,2011,Feb,Mon,FALSE,no,62.627,67.8515,0.375833,27.999836,categ1,208,1705,1913
2/15/11,winter,2011,Feb,Tue,FALSE,no,51.6372206,54.88466,0.314348,19.522058,categ1,140,1675,1815
2/16/11,winter,2011,Feb,Wed,FALSE,no,55.4876618,60.458,0.423478,16.869997,categ1,218,1897,2115
2/17/11,winter,2011,Feb,Thu,FALSE,no,64.1644754,70.57922,0.505,15.416968,categ1,259,2216,2475
2/18/11,winter,2011,Feb,Fri,FALSE,no,70.4990246,78.07847,0.516667,17.749975,categ1,579,2348,2927
2/19/11,winter,2011,Feb,Sat,TRUE,no,61.4585246,67.22636,0.187917,34.000021,categ1,532,1103,1635
2/20/11,winter,2011,Feb,Sun,TRUE,no,53.0490146,56.9597,0.407826,14.956745,categ1,639,1173,1812
2/21/11,winter,2011,Feb,Mon,FALSE,yes,54.3859754,57.56675,0.605,20.625682,categ2,195,912,1107
2/22/11,winter,2011,Feb,Tue,FALSE,no,45.4479836,48.74297,0.577778,13.110761,categ1,74,1376,1450
2/23/11,winter,2011,Feb,Wed,FALSE,no,48.3643382,54.11453,0.423043,6.305571,categ1,139,1778,1917
2/24/11,winter,2011,Feb,Thu,FALSE,no,53.8191176,58.02719,0.697391,16.783232,categ2,100,1707,1807
2/25/11,winter,2011,Feb,Fri,FALSE,no,58.8888824,63.54149,0.712174,23.218113,categ2,120,1341,1461
2/26/11,winter,2011,Feb,Sat,TRUE,no,52.8485,57.39728,0.537917,12.500257,categ1,424,1545,1969
2/27/11,winter,2011,Feb,Sun,TRUE,no,57.3486764,63.59981,0.68,8.391616,categ1,694,1708,2402
2/28/11,winter,2011,Feb,Mon,FALSE,no,62.0567474,68.01062,0.876364,19.408962,categ2,81,1365,1446
3/1/11,winter,2011,Mar,Tue,FALSE,no,51.6800246,55.74911,0.535,14.500475,categ1,137,1714,1851
3/2/11,winter,2011,Mar,Wed,FALSE,no,56.723,60.80639,0.449583,20.624811,categ1,231,1903,2134
3/3/11,winter,2011,Mar,Thu,FALSE,no,46.6369754,50.01197,0.318333,15.125518,categ1,123,1562,1685
3/4/11,winter,2011,Mar,Fri,FALSE,no,51.3110246,55.01111,0.610417,13.624182,categ2,214,1730,1944
3/5/11,winter,2011,Mar,Sat,TRUE,no,60.3515246,66.09011,0.789167,16.875357,categ2,640,1437,2077
3/6/11,winter,2011,Mar,Sun,TRUE,no,59.7873236,64.96268,0.948261,23.000229,categ2,114,491,605
3/7/11,winter,2011,Mar,Mon,FALSE,no,51.3163382,53.46149,0.551304,22.870584,categ1,244,1628,1872
3/8/11,winter,2011,Mar,Tue,FALSE,no,53.5865,59.216,0.420833,8.08355,categ1,316,1817,2133
3/9/11,winter,2011,Mar,Wed,FALSE,no,53.8324754,57.79472,0.775417,14.75005,categ2,191,1700,1891
3/10/11,winter,2011,Mar,Thu,FALSE,no,60.7149158,66.71012,0,17.545759,categ3,46,577,623
3/11/11,winter,2011,Mar,Fri,FALSE,no,55.3593236,59.45,0.649565,15.60899,categ2,247,1730,1977
3/12/11,winter,2011,Mar,Sat,TRUE,no,56.2925246,61.3175,0.594583,14.791925,categ1,724,1408,2132
3/13/11,winter,2011,Mar,Sun,TRUE,no,60.3648824,66.20819,0.527391,18.130468,categ1,982,1435,2417
3/14/11,winter,2011,Mar,Mon,FALSE,no,56.0010146,61.88,0.496957,9.174042,categ1,359,1687,2046
3/15/11,winter,2011,Mar,Tue,FALSE,no,55.4234558,60.63602,0.655652,12.348703,categ2,289,1767,2056
3/16/11,winter,2011,Mar,Wed,FALSE,no,58.9530146,65.0237,0.776522,13.608839,categ2,321,1871,2192
3/17/11,winter,2011,Mar,Thu,FALSE,no,62.627,68.92997,0.602917,14.041793,categ1,424,2320,2744
3/18/11,winter,2011,Mar,Fri,FALSE,no,71.852,79.43081,0.525217,15.478139,categ1,884,2355,3239
3/19/11,winter,2011,Mar,Sat,TRUE,no,66.8705,73.98725,0.379167,24.667189,categ1,1424,1693,3117
3/20/11,winter,2011,Mar,Sun,TRUE,no,56.5385,61.3175,0.47375,13.917307,categ1,1047,1424,2471
3/21/11,spring,2011,Mar,Mon,FALSE,no,63.766103,68.87615,0.737391,19.348461,categ2,401,1676,2077
3/22/11,spring,2011,Mar,Tue,FALSE,no,64.5950246,71.65778,0.624583,15.12525,categ1,460,2243,2703
3/23/11,spring,2011,Mar,Wed,FALSE,no,57.6054266,62.41451,0.839565,15.695487,categ2,203,1918,2121
3/24/11,spring,2011,Mar,Thu,FALSE,no,53.033,56.37497,0.805833,16.333729,categ2,166,1699,1865
3/25/11,spring,2011,Mar,Fri,FALSE,no,51.4955246,55.06808,0.495,15.458575,categ1,300,1910,2210
3/26/11,spring,2011,Mar,Sat,TRUE,no,51.6184754,55.18139,0.394167,14.041257,categ1,981,1515,2496
3/27/11,spring,2011,Mar,Sun,TRUE,no,50.6745734,54.53051,0.493913,12.3481,categ2,472,1221,1693
3/28/11,spring,2011,Mar,Mon,FALSE,no,51.5088824,55.18166,0.302174,14.217668,categ1,222,1806,2028
3/29/11,spring,2011,Mar,Tue,FALSE,no,54.3245,58.36172,0.314167,15.208732,categ1,317,2108,2425
3/30/11,spring,2011,Mar,Wed,FALSE,no,54.14,58.7615,0.646667,11.583496,categ2,168,1368,1536
3/31/11,spring,2011,Mar,Thu,FALSE,no,51.8029754,55.18175,0.918333,14.582282,categ3,179,1506,1685
4/1/11,spring,2011,Apr,Fri,FALSE,no,54.14,57.51086,0.68625,17.333436,categ2,307,1920,2227
4/2/11,spring,2011,Apr,Sat,TRUE,no,55.247,60.40733,0.65375,13.208782,categ2,898,1354,2252
4/3/11,spring,2011,Apr,Sun,TRUE,no,59.9209754,66.08903,0.48,12.208271,categ1,1651,1598,3249
4/4/11,spring,2011,Apr,Mon,FALSE,no,74.3119754,80.86361,0.42625,25.833257,categ1,734,2381,3115
4/5/11,spring,2011,Apr,Tue,FALSE,no,62.5655246,67.8515,0.642083,26.000489,categ2,167,1628,1795
4/6/11,spring,2011,Apr,Wed,FALSE,no,60.8434754,66.88472,0.470833,17.625221,categ1,413,2395,2808
4/7/11,spring,2011,Apr,Thu,FALSE,no,64.2875,71.03264,0.602917,10.874904,categ1,571,2570,3141
4/8/11,spring,2011,Apr,Fri,FALSE,no,56.7844754,61.20311,0.83625,15.208464,categ2,172,1299,1471
4/9/11,spring,2011,Apr,Sat,TRUE,no,57.2765,62.73761,0.8775,8.916561,categ2,879,1576,2455
4/10/11,spring,2011,Apr,Sun,TRUE,no,63.4880246,70.40633,0.8575,9.833389,categ2,1188,1707,2895
4/11/11,spring,2011,Apr,Mon,FALSE,no,75.9591176,82.86953,0.716956,21.739758,categ2,855,2493,3348
4/12/11,spring,2011,Apr,Tue,FALSE,no,69.0845,76.37486,0.739167,18.416893,categ2,257,1777,2034
4/13/11,spring,2011,Apr,Wed,FALSE,no,62.4425,69.55547,0.819167,16.791339,categ2,209,1953,2162
4/14/11,spring,2011,Apr,Thu,FALSE,no,66.5015,73.64678,0.540417,7.4169,categ1,529,2738,3267
4/15/11,spring,2011,Apr,Fri,FALSE,yes,64.9640246,71.77217,0.67125,15.167125,categ1,642,2484,3126
4/16/11,spring,2011,Apr,Sat,TRUE,no,63.7954754,70.29428,0.888333,22.834136,categ3,121,674,795
4/17/11,spring,2011,Apr,Sun,TRUE,no,65.7020246,72.11264,0.479583,20.334232,categ1,1558,2186,3744
4/18/11,spring,2011,Apr,Mon,FALSE,no,69.8225,77.28314,0.5425,10.958989,categ1,669,2760,3429
4/19/11,spring,2011,Apr,Tue,FALSE,no,69.3304754,76.03322,0.665833,10.584057,categ2,409,2795,3204
4/20/11,spring,2011,Apr,Wed,FALSE,no,75.911,82.79528,0.614167,16.208975,categ1,613,3331,3944
4/21/11,spring,2011,Apr,Thu,FALSE,no,65.8865246,72.85028,0.407083,21.792286,categ1,745,3444,4189
4/22/11,spring,2011,Apr,Fri,FALSE,no,56.8460246,60.97586,0.729583,14.707907,categ2,177,1506,1683
4/23/11,spring,2011,Apr,Sat,TRUE,no,65.948,72.51089,0.887917,15.458575,categ2,1462,2574,4036
4/24/11,spring,2011,Apr,Sun,TRUE,no,74.9270246,81.65867,0.810833,12.875725,categ2,1710,2481,4191
4/25/11,spring,2011,Apr,Mon,FALSE,no,76.7720246,83.705,0.776667,12.417311,categ1,773,3300,4073
4/26/11,spring,2011,Apr,Tue,FALSE,no,78.6170246,85.46747,0.729167,21.8755,categ1,678,3722,4400
4/27/11,spring,2011,Apr,Wed,FALSE,no,77.756,83.76278,0.835417,20.9174,categ2,547,3325,3872
4/28/11,spring,2011,Apr,Thu,FALSE,no,77.5715,84.10361,0.700833,21.500836,categ2,569,3489,4058
4/29/11,spring,2011,Apr,Fri,FALSE,no,69.638,76.77167,0.457083,16.084221,categ1,878,3717,4595
4/30/11,spring,2011,Apr,Sat,TRUE,no,66.8705,73.76189,0.503333,15.750025,categ1,1965,3347,5312
5/1/11,spring,2011,May,Sun,TRUE,no,65.3330246,72.33836,0.762083,7.125718,categ2,1138,2213,3351
5/2/11,spring,2011,May,Mon,FALSE,no,72.5285246,79.95497,0.73,12.291418,categ2,847,3554,4401
5/3/11,spring,2011,May,Tue,FALSE,no,77.5100246,84.38711,0.697083,22.958689,categ2,603,3848,4451
5/4/11,spring,2011,May,Wed,FALSE,no,62.5655246,68.4185,0.737083,22.042732,categ2,255,2378,2633
5/5/11,spring,2011,May,Thu,FALSE,no,65.8865246,71.77253,0.444167,19.791264,categ1,614,3819,4433
5/6/11,spring,2011,May,Fri,FALSE,no,67.3625246,74.67053,0.59,15.292482,categ1,894,3714,4608
5/7/11,spring,2011,May,Sat,TRUE,no,70.376,78.13589,0.54125,10.75015,categ1,1612,3102,4714
5/8/11,spring,2011,May,Sun,TRUE,no,70.9909754,78.70397,0.631667,5.0007125,categ1,1401,2932,4333
5/9/11,spring,2011,May,Mon,FALSE,no,71.2985,79.27214,0.58875,11.792,categ1,664,3698,4362
5/10/11,spring,2011,May,Tue,FALSE,no,71.2985,79.04489,0.489167,7.749957,categ1,694,4109,4803
5/11/11,spring,2011,May,Wed,FALSE,no,72.0365,79.556,0.632917,8.083014,categ1,550,3632,4182
5/12/11,spring,2011,May,Thu,FALSE,no,71.483,79.10267,0.7475,12.707689,categ1,695,4169,4864
5/13/11,spring,2011,May,Fri,FALSE,no,69.8225,76.487,0.863333,12.041575,categ2,692,3413,4105
5/14/11,spring,2011,May,Sat,TRUE,no,70.4374754,77.05661,0.9225,9.04165,categ2,902,2507,3409
5/15/11,spring,2011,May,Sun,TRUE,no,73.5125,80.24,0.867083,10.249593,categ2,1582,2971,4553
5/16/11,spring,2011,May,Mon,FALSE,no,74.6195,81.54608,0.787917,8.500357,categ1,773,3185,3958
