"url","authors","type","title_words","text_words","title_char","text_char","title_caps","text_caps","title_caps_percent","text_caps_percent","title_excl","text_excl","title_excl_percent","text_excl_percent","title_has_excl","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","text_syllables","text_syllables_per_word"
"http://freedomdaily.com/former-haitian-senate-president-clintons-exploited-haiti-earthquake-steal-billions-dollars-sick-starving/",NA,"fake",17,219,110,1444,0,1,0,0.45662100456621,0,0,0,0,FALSE,4.24,2.12,2.54,3.81,1.27,4.66,2.12,2.97,8.47,3.81,395,1.80365296803653
"http://winningdemocrats.com/donald-trump-jr-just-pinned-a-tweet-so-stupid-it-will-make-your-eyes-bleed/",NA,"real",18,509,95,3016,0,1,0,0.196463654223969,0,0,0,0,FALSE,2.28,1.71,1.9,1.9,1.71,1.33,1.14,4.17,4.74,4.93,845,1.66011787819253
"http://rightwingnews.com/top-news/michelle-obama-not-leaving-white-house-hillary-clinton-terrifying-new-role/","Sierra Marlee","fake",16,494,96,2881,1,3,6.25,0.607287449392713,2,2,2.08333333333333,0.0694203401596668,TRUE,1.18,2.16,0.98,1.57,1.96,0.78,1.18,3.73,3.33,5.49,806,1.63157894736842
"http://politi.co/2cEsAnL","Jack Shafer,Nolan D","real",11,268,60,1674,0,3,0,1.11940298507463,0,0,0,0,FALSE,4.66,1.79,1.79,4.3,0.36,1.79,1.79,2.51,6.09,2.15,461,1.72014925373134
"https://goo.gl/p7jFZG","Blair Patterson","fake",9,479,54,2813,0,0,0,0,0,0,0,0,FALSE,0.82,1.23,0.41,0.82,1.23,0.82,0.82,2.46,2.66,4.3,761,1.58872651356994
"http://eaglerising.com/36955/its-trump-is-hitler-month-at-the-washington-post/","View All Posts,Jeff Dunetz","real",12,220,66,1351,1,0,8.33333333333333,0,0,0,0,0,FALSE,1.29,0.43,1.72,0.43,0.86,0.86,0.86,2.16,3.02,2.16,376,1.70909090909091
"http://eaglerising.com/36871/bombing-suspect-filed-anti-muslim-discrimination-lawsuit-against-police/","View All Posts","fake",11,184,86,1128,0,0,0,0,0,0,0,0,FALSE,2.56,2.05,2.05,5.13,1.54,2.05,1.03,5.13,4.1,4.1,326,1.77173913043478
"http://freedomdaily.com/despicable-hillary-wants-put-hero-cop-stopped-mall-terror-attack-business/",NA,"fake",18,500,104,3112,2,12,11.1111111111111,2.4,1,0,0.961538461538462,0,TRUE,3.47,1.74,1.35,4.25,1.35,1.93,1.35,3.86,4.63,4.25,891,1.782
"http://occupydemocrats.com/2016/09/23/bombshell-abc-reveals-trump-paid-hundreds-millions-russian-oligarchs-2/","Colin Taylor,Grant Stern,Brett Bose,Natalie Dickinson","fake",10,677,66,4150,1,12,10,1.7725258493353,0,1,0,0.0240963855421687,FALSE,1.31,2.04,1.31,1.46,1.6,0.87,1.16,3.64,2.18,4.95,1133,1.67355982274742
"http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/","Sierra Marlee","real",13,485,81,2789,1,1,7.69230769230769,0.206185567010309,0,0,0,0,FALSE,2.01,1.41,0.8,3.01,0.6,2.01,0.8,2.81,4.22,3.82,748,1.54226804123711
"http://politi.co/2cSUHmo","Madeline Conway,Burgess Everett,Katie Glueck,Jack Shafer","real",10,734,59,4383,0,2,0,0.272479564032698,0,0,0,0,FALSE,1.75,0.94,1.61,1.61,0.54,1.21,0.67,2.42,3.49,2.55,1183,1.61171662125341
"http://freedomdaily.com/white-men-set-on-fire-by-blacks-media-censored/",NA,"fake",11,361,57,2028,1,5,9.09090909090909,1.38504155124654,0,0,0,0,FALSE,2.69,1.34,0.81,2.69,0.54,1.34,0.27,0.54,2.96,1.61,552,1.52908587257618
"http://abcn.ws/2dh2NFs","John Parkinson,More John,Abc News,More Alexander","real",11,477,75,3069,0,1,0,0.209643605870021,0,0,0,0,FALSE,2.05,1.02,1.02,2.05,0.61,2.05,0.41,3.28,3.48,4.1,872,1.82809224318658
"http://rightwingnews.com/top-news/liberals-furious-reality-star-brody-jenner-tells-truth-police-shootings-twitter/","Sierra Marlee","real",16,385,101,2267,0,1,0,0.25974025974026,0,2,0,0.0882223202470225,FALSE,1.75,1.75,1.5,1.5,1.75,1.5,0.5,3.74,2.99,4.99,612,1.58961038961039
"http://abcn.ws/2cDjJ92","More Meghan,Abc News","real",10,521,72,3319,0,6,0,1.15163147792706,0,0,0,0,FALSE,1.13,1.13,0.94,1.69,0.94,1.69,1.13,3.77,3.2,2.82,925,1.77543186180422
"http://politi.co/2cS4PJJ","Josh Gerstein","real",8,398,62,2638,0,1,0,0.251256281407035,0,0,0,0,FALSE,2.71,0.99,0.49,3.45,0.25,1.72,0.25,3.94,3.69,3.94,766,1.92462311557789
"http://occupydemocrats.com/2016/09/28/trumps-biggest-silicon-valley-donor-sued-by-feds-for-discrimination/","Grant Stern,Brett Bose,Natalie Dickinson","fake",10,547,63,3634,0,12,0,2.19378427787934,0,1,0,0.0275178866263071,FALSE,1.97,2.87,1.44,2.33,1.44,0.72,1.44,4.67,3.41,7.36,1041,1.90310786106033
"http://www.addictinginfo.org/2016/09/20/how-trump-is-hiding-from-the-media-like-a-total-coward/","Oliver Willis","real",11,358,54,2105,0,0,0,0,0,0,0,0,FALSE,0.81,2.98,1.08,2.71,1.08,1.36,0.81,2.17,2.71,2.98,571,1.59497206703911
"http://author.addictinginfo.org/2016/09/23/the-pope-flat-out-called-fox-news-type-journalism-terrorism/","Wendy Gittleson","fake",10,371,61,2196,0,0,0,0,0,0,0,0,FALSE,2.89,1.31,1.84,3.15,0.26,1.31,1.05,1.57,4.72,2.1,610,1.64420485175202
"http://freedomdaily.com/nyc-terrorist-ahmad-rahami-sued-police-department-religious-persecution-2011/",NA,"fake",15,405,102,2441,1,4,6.66666666666667,0.987654320987654,1,1,0.980392156862745,0.0409668168783286,TRUE,2.38,1.67,1.19,4.05,0.95,2.38,1.19,3.33,4.05,3.81,683,1.68641975308642
"http://abcn.ws/2cMLIxB","More Stephanie,Emily Shapiro,Jj Gallagher,Stephanie Wash,Michael Edison Hayden,Mike Levine,More Rhonda,More Emily,More Michael,Abc News","real",9,625,55,3784,1,5,11.1111111111111,0.8,0,0,0,0,FALSE,1.74,1.26,0.63,3,0.63,1.58,0.79,3.47,2.21,4.26,1098,1.7568
"http://www.addictinginfo.org/2016/09/22/republicans-push-bill-to-legalize-voter-intimidation-to-help-trump-in-pennsylvania/","Stephen D Foster Jr","fake",12,465,82,2801,0,0,0,0,0,1,0,0.0357015351660121,FALSE,1.89,1.05,0.21,2.52,0.84,0.84,1.05,2.94,2.73,3.56,795,1.70967741935484
