id,name,mobility,state,population,urban,seg_racial,seg_income,seg_poverty,seg_affluenc e,commute,income,gini,share_01,gini_99,middle_class,local_tax_rate,local_gov_spending,progressivity,eitc,school_spending,student_teacher_ratio,test_scores,hs_dropout,colleges,tuition,graduation,labor_force_participation,manufacturing,chinese_imports,teenage_labor,migration_in,migration_out,foreign_born,social_capital,religious,violent_crime,single_mothers,divorced,married,longitude,latitude
100,Johnson City,0.06219881,TN,576081,1,0.09,0.035,0.03,0.038,0.325,31560,0.468,13.459,0.333,0.548,0.02,1886,0,0,5.185,NA,2.728,-0.015,0.014,4817,-0.002,0.587,0.237,5.294,0.004,0.006,0.005,0.012,-0.298,0.514,0.001,0.19,0.11,0.601,-82.43638611,36.47037125
200,Morristown,0.05365194,TN,227816,1,0.093,0.026,0.028,0.025,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004,0,0,4.506,NA,-3.4,-0.024,0.009,4762,-0.101,0.625,0.238,3.03,0.005,0.016,0.014,0.023,-0.767,0.544,0.002,0.185,0.116,0.613,-83.40724945,36.09653854
301,Middlesborough,0.072635137,TN,66708,0,0.064,0.024,0.015,0.026,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190,0,0,5.614,15.1,-9.315,-0.005,0.045,11840,0.111,0.479,0.234,2.063,0.003,0.008,0.012,0.007,-1.27,0.668,0.001,0.211,0.113,0.59,-83.53533173,36.55154037
302,Knoxville,0.056281213,TN,727600,1,0.21,0.092,0.084,0.102,0.269,35884,0.508,15.08,0.358,0.504,0.019,2357,0,0,4.9,NA,-6.032,-0.011,0.011,3480,-0.024,0.615,0.146,1.078,0.004,0.016,0.014,0.02,-0.222,0.602,0.001,0.206,0.114,0.575,-84.24279022,35.95225906
401,Winston-Salem,0.044800792,NC,493180,1,0.262,0.072,0.061,0.081,0.292,38892,0.466,11.917,0.346,0.5,0.018,1891,1,0,5.463,15.4,-2.297,0.023,0.014,9715,0.052,0.656,0.215,1.016,0.004,0.022,0.019,0.053,-0.018,0.488,0.003,0.22,0.092,0.586,-80.50533295,36.08127594
402,Martinsville,0.051835854,VA,92753,0,0.137,0.024,0.015,0.028,0.313,31265,0.444,10.68,0.338,0.538,0.015,1558,0,0,5.74,NA,4.227,NA,0.011,1113,-0.116,0.599,0.395,3.277,0.003,0.007,0.01,0.025,-0.903,0.454,0.002,0.241,0.096,0.58,-80.29411316,36.70058823
500,Greensboro,0.047396939,NC,1055133,1,0.22,0.068,0.058,0.077,0.305,36582,0.524,18.228,0.341,0.51,0.017,1932,1,0,5.008,16.7,-3.716,0.016,0.014,4528,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.05,-0.513,0.434,0.003,0.237,0.096,0.56,-79.76738739,36.31110764
601,North Wilkesboro,0.051663127,NC,90016,0,0.114,0.012,0.009,0.012,0.289,31544,0.446,12.645,0.32,0.56,0.014,1661,1,0,5.296,16.2,6.698,0.021,0.011,880,-0.123,0.617,0.275,2.573,0.003,0.012,0.012,0.027,-0.193,0.561,0.003,0.165,0.087,0.632,-81.2522049,36.28341675
602,Galax,0.079569891,VA,64676,0,0.131,0.005,0.004,0.006,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0,0,5.377,12.3,4.9,NA,NA,NA,NA,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.43,0.001,0.167,0.089,0.622,-81.03992462,36.59199905
700,Spartanburg,0.04311119,SC,354533,1,0.139,0.045,0.044,0.045,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499,0,0,5.421,15.9,-1.009,NA,0.02,7264,0.007,0.63,0.295,0.946,0.004,0.017,0.016,0.029,-1.001,0.596,0.003,0.246,0.099,0.561,-81.78596497,34.87308121
800,Gastonia,0.051527306,NC,413331,1,0.134,0.038,0.034,0.041,0.288,33582,0.415,10.08,0.314,0.544,0.015,1996,1,0,5.251,16.4,2.412,0.03,0.015,10244,-0.102,0.648,0.311,1.466,0.003,0.017,0.015,0.029,-0.659,0.601,0.004,0.214,0.094,0.596,-81.6222229,35.41153336
900,Charlotte,0.043785237,NC,1423942,1,0.223,0.098,0.078,0.12,0.241,41423,0.516,15.613,0.36,0.477,0.02,2701,1,0,5.674,17,-2.291,0.023,0.013,4790,-0.021,0.696,0.171,0.837,0.004,0.034,0.021,0.065,-0.484,0.496,0.004,0.219,0.088,0.563,-80.69176483,35.09056091
1001,Boone,0.056083649,NC,77361,0,0.076,0.031,0.028,0.031,0.375,25953,0.487,14.276,0.344,0.53,0.022,1348,1,0,5.264,13.9,9.978,0.013,0.026,1674,0.236,0.589,0.11,2.011,0.004,0.014,0.017,0.018,0.012,0.488,0.002,0.167,0.09,0.527,-81.84039307,36.19696426
1002,Morganton,0.054446463,NC,164760,1,0.117,0.012,0.011,0.011,0.315,30726,0.351,7.776,0.273,0.603,0.014,1826,1,0,4.926,15.7,5.556,0.018,0.018,888,-0.155,0.61,0.355,3.332,0.004,0.013,0.015,0.038,-0.231,0.569,0.002,0.179,0.096,0.607,-81.99520874,35.80189514
1100,Hickory,0.044969671,NC,375363,1,0.134,0.038,0.029,0.042,0.322,36024,0.435,11.834,0.317,0.568,0.015,1917,1,0,5.205,16.7,3.202,0.026,0.011,4109,-0.164,0.688,0.365,3.949,0.004,0.022,0.019,0.042,-0.235,0.578,0.002,0.19,0.095,0.601,-81.28756714,35.87122726
1201,Franklin,0.056661561,NC,44861,0,0.044,0.011,0.009,0.011,0.416,37261,0.516,20.552,0.311,0.565,0.024,1434,1,0,5.199,15.8,4.11,0.034,NA,NA,NA,0.558,0.158,1.1,0.006,0.012,0.01,0.031,-0.234,0.613,0.002,0.166,0.103,0.624,-83.37693787,34.97714615
1202,Sylva,0.060665362,NC,54082,0,0.326,0.016,0.02,0.014,0.412,28767,0.404,8.421,0.32,0.521,0.015,1581,1,0,5.622,14.6,3.849,0.022,0.037,971,0.112,0.609,0.106,6.567,0.005,0.01,0.01,0.015,-1.001,0.409,0.002,0.217,0.099,0.582,-83.40532684,35.34777069
1203,Asheville,0.063380279,NC,398505,1,0.168,0.036,0.034,0.037,0.314,37445,0.461,13.046,0.331,0.545,0.018,2059,1,0,5.649,16.2,9.045,0.024,0.023,5560,0.001,0.604,0.178,1.827,0.005,0.017,0.013,0.038,0.055,0.577,0.003,0.203,0.099,0.592,-82.69906616,35.54806519
1204,Andrews,0.080481038,NC,59681,0,0.051,0.008,0.007,0.007,0.361,33712,0.847,55.821,0.289,0.519,0.015,1932,1,0,5.167,15.7,1.551,0.017,0.034,7563,-0.11,0.525,0.154,2.853,0.005,0.012,0.004,0.015,-0.999,0.549,0.002,0.166,0.089,0.648,-83.8927536,34.96515656
1301,Bennettsville,0.029796841,SC,71586,0,0.077,0.01,0.008,0.007,0.34,25531,0.455,12.783,0.327,0.439,0.02,1335,0,0,5.493,14.9,-10.92,0.019,0.014,1272,-0.112,0.574,0.36,2.828,0.002,0.015,0.018,0.012,-2.44,0.49,0.004,0.316,0.091,0.519,-79.97753143,34.53401184
1302,Florence,0.0356782,SC,548986,1,0.201,0.047,0.054,0.043,0.327,32610,0.552,13.675,0.415,0.422,0.021,1726,0,0,5.71,15.9,-2.106,-0.018,0.013,3523,-0.032,0.615,0.162,1.06,0.004,0.023,0.014,0.023,-1.958,0.436,0.003,0.295,0.095,0.529,-79.71277618,33.92253113
1400,Fayetteville,0.038247012,NC,644101,1,0.173,0.052,0.053,0.048,0.322,29959,0.463,11.49,0.348,0.494,0.016,2090,1,0,4.866,16.3,-5.484,0.024,0.014,2937,-0.1,0.638,0.202,4.161,0.003,0.03,0.038,0.047,-2.21,0.377,0.003,0.276,0.092,0.545,-79.33141327,35.03549576
1500,Wilmington,0.041803397,NC,361559,1,0.155,0.064,0.06,0.069,0.317,35617,0.523,12.594,0.397,0.463,0.022,2144,1,0,5.379,16.1,-0.153,0.02,0.019,3723,0.156,0.61,0.12,0.49,0.004,0.033,0.017,0.028,-1.228,0.434,0.003,0.253,0.096,0.556,-78.33686829,34.47793579
1600,Wilson,0.031958379,NC,216840,1,0.169,0.053,0.05,0.056,0.36,31549,0.514,11.255,0.401,0.443,0.017,2899,1,0,5.084,15.8,-6.231,0.035,0.023,5705,-0.093,0.619,0.232,3.633,0.003,0.013,0.015,0.035,-1.395,0.398,0.004,0.291,0.087,0.525,-77.78102875,35.91067886
1701,Raleigh,0.049986634,NC,1412127,1,0.159,0.099,0.087,0.114,0.25,40546,0.509,17.762,0.331,0.448,0.022,3147,1,0,5.73,16,-0.359,NA,0.012,5642,0.135,0.694,0.141,2.941,0.004,0.033,0.023,0.085,-0.401,0.399,0.002,0.211,0.085,0.544,-78.71379089,35.7296524
1702,Henderson,0.033608817,NC,62926,0,0.095,0.034,0.032,0.034,0.345,29492,0.496,12.68,0.37,0.4,0.016,2116,1,0,5.432,16.5,-10.284,0.042,0.016,770,-0.156,0.58,0.262,1.073,0.003,0.015,0.02,0.031,-1.636,0.437,0.004,0.339,0.086,0.524,-78.2416153,36.34949493
1800,Goldsboro,0.045354951,NC,222553,1,0.113,0.026,0.029,0.021,0.348,28925,0.457,11.11,0.346,0.501,0.016,1844,1,0,4.786,16.3,-4.023,0.015,0.018,2665,-0.091,0.617,0.191,1.481,0.004,0.016,0.021,0.065,-1.612,0.395,0.003,0.25,0.084,0.555,-78.17847443,35.05299377
1900,Jacksonville,0.04700724,NC,536909,1,0.136,0.049,0.048,0.048,0.375,29500,0.464,11.594,0.349,0.517,0.017,2523,1,0,5.023,16.3,0.758,0.024,0.013,1085,0.021,0.654,0.126,0.811,0.004,0.033,0.039,0.034,-1.926,0.342,0.002,0.243,0.084,0.544,-77.10850525,35.19292831
2000,Virginia Beach,0.053550944,VA,1119468,1,0.189,0.111,0.111,0.109,0.253,34929,0.451,10.785,0.343,0.523,0.028,2366,0,0,5.897,15.3,5.39,NA,0.012,3090,-0.034,0.683,0.091,0.406,0.004,0.028,0.029,0.045,-0.95,0.346,0.001,0.261,0.094,0.527,-76.29445648,36.4986496
2100,Washington,0.049788479,NC,124216,0,0.158,0.037,0.042,0.029,0.387,32919,0.475,11.065,0.365,0.461,0.025,2823,1,0,5.723,14.2,-0.067,0.026,0.016,880,-0.084,0.594,0.162,1.93,0.004,0.013,0.016,0.022,-1.066,0.466,0.002,0.262,0.085,0.57,-76.53919983,35.68222809
2200,South Boston,0.049048752,VA,158234,0,0.027,0.008,0.007,0.007,0.318,28198,0.408,8.048,0.328,0.507,0.015,1349,0,0,5.389,NA,4.092,-0.003,0.025,5395,0.152,0.536,0.208,2.786,0.003,0.009,0.008,0.012,-0.65,0.407,0.001,0.266,0.086,0.534,-78.50386047,36.99875641
2300,Lynchburg,0.067359142,VA,228616,1,0.132,0.05,0.048,0.056,0.309,34417,0.419,9.827,0.321,0.544,0.018,1481,0,0,5.263,NA,3.333,NA,0.026,12559,0.057,0.626,0.221,1.309,0.004,0.009,0.009,0.02,-0.185,0.575,0.001,0.23,0.089,0.571,-79.28725433,37.35041809
2400,Richmond,0.054764673,VA,1040192,1,0.257,0.119,0.114,0.125,0.238,41886,0.461,11.543,0.345,0.463,0.025,2428,0,0,5.919,NA,4.649,NA,0.013,5093,-0.018,0.671,0.117,0.57,0.005,0.019,0.013,0.043,0.249,0.433,0.002,0.259,0.098,0.533,-77.35938263,37.49375534
2500,Newport News,0.051365763,VA,570854,1,0.181,0.087,0.082,0.095,0.29,36027,0.422,9.192,0.33,0.521,0.025,1807,0,0,5.966,NA,3.348,NA,0.011,3699,0.131,0.648,0.147,0.321,0.004,0.025,0.026,0.038,-0.63,0.367,0.002,0.266,0.091,0.553,-76.74573517,37.17897034
2600,Roanoke Rapids,0.032752901,NC,139055,0,0.104,0.011,0.011,0.011,0.357,27335,0.442,8.827,0.353,0.409,0.019,2041,1,0,5.356,16.5,-11.577,0.012,0.022,6298,-0.128,0.513,0.232,0.562,0.003,0.007,0.012,0.01,-0.596,0.364,0.005,0.35,0.084,0.494,-77.33207703,36.25989914
2700,Gulfport,0.067107029,MS,458674,1,0.181,0.036,0.037,0.034,0.298,31028,0.465,12.053,0.344,0.518,0.022,2072,0,0,4.627,18.4,-3.592,0.002,0.004,956,-0.033,0.619,0.133,0.401,0.003,0.02,0.019,0.026,-1.63,0.535,0.002,0.244,0.121,0.549,-89.41765594,30.68035507
2800,Laurel,0.069207057,MS,120505,0,0.138,0.015,0.016,0.013,0.32,26974,0.511,13.527,0.376,0.451,0.013,1817,0,0,4.429,17.9,-9.186,0.001,0.017,872,-0.088,0.557,0.248,2.199,0.003,0.012,0.013,0.013,-0.56,0.62,0.002,0.258,0.098,0.547,-89.11618042,31.80095291
2900,Hattiesburg,0.060510889,MS,157181,1,0.22,0.062,0.049,0.072,0.358,28079,0.509,11.349,0.396,0.441,0.015,2011,0,0,4.261,16.8,-7.941,-0.005,0.019,3586,0.109,0.605,0.132,1.094,0.003,0.021,0.019,0.013,-0.707,0.61,0.002,0.269,0.099,0.512,-89.4493866,31.2641201
3001,Kosciusko,0.035489667,MS,41270,0,0.135,0.027,0.034,0.021,0.365,24121,0.539,18.373,0.355,0.325,0.016,1748,0,0,4.336,19.8,-13.492,-0.025,0.048,1220,-0.022,0.507,0.231,5.353,0.002,0.013,0.017,0.005,-0.856,0.423,0.002,0.394,0.083,0.461,-90.05406189,33.14200211
3002,Yazoo City,0.024789523,MS,39355,1,0.138,0.025,0.021,0.038,0.417,22600,0.605,17.47,0.43,0.296,0.016,1809,0,0,4.664,20.1,-23.049,0.041,NA,NA,NA,0.503,0.199,0.407,0.003,0.011,0.017,0.031,-0.351,0.446,0.002,0.401,0.079,0.404,-90.47216797,32.89740372
3003,Jackson,0.037534047,MS,546560,1,0.288,0.1,0.092,0.11,0.267,33322,0.605,17.981,0.425,0.425,0.016,1604,0,0,4.618,19.2,-15.257,0.005,0.016,2959,-0.02,0.629,0.112,0.644,0.004,0.015,0.013,0.014,-0.538,0.531,0.002,0.303,0.104,0.495,-90.22772217,32.29021835
3101,McComb,0.06252972,MS,103602,0,0.083,0.013,0.01,0.012,0.341,25123,0.505,11.866,0.386,0.386,0.012,1569,0,0,4.398,17.8,-16.041,0.011,0.01,970,-0.061,0.524,0.184,0.758,0.002,0.012,0.011,0.007,-0.624,0.601,0.002,0.308,0.094,0.515,-90.77793884,31.22748756
3102,Brookhaven,0.064295486,MS,46424,0,0.098,0.014,0.018,0.008,0.321,27071,0.569,21.251,0.356,0.463,0.018,1806,0,0,4.338,18.3,-8.088,0.016,NA,NA,NA,0.552,0.143,0.603,0.002,0.016,0.016,0.006,-0.017,0.719,0.001,0.24,0.088,0.57,-90.25445557,31.52368927
3201,Jena,0.126422256,LA,25202,0,0.145,0.007,0.006,0.008,0.369,24857,0.389,5.903,0.33,0.503,0.016,2134,4,0,4.508,16.4,1.447,0.014,NA,NA,NA,0.495,0.082,0.618,0.003,0.011,0.015,0.005,0.244,0.698,0.006,0.191,0.08,0.6,-91.97135162,31.58461189
3202,Natchez,0.048746027,MS,69653,0,0.194,0.04,0.044,0.03,0.418,27488,0.554,12.508,0.428,0.395,0.014,1536,0,0,4.645,18.6,-19.332,0.012,0.029,955,0.261,0.519,0.111,0.438,0.002,0.007,0.011,0.012,-0.373,0.53,0.004,0.35,0.106,0.488,-91.43305969,31.63621902
3203,Vicksburg,0.031178208,MS,84943,0,0.239,0.065,0.065,0.072,0.379,27080,0.547,13.243,0.414,0.391,0.018,1874,0,0,4.492,18.3,-18.28,0.03,0.024,2402,0.037,0.566,0.149,2.194,0.003,0.008,0.013,0.009,-0.662,0.46,0.004,0.371,0.091,0.457,-91.10588837,32.18022919
3300,New Orleans,0.051212866,LA,1381652,1,0.354,0.104,0.097,0.107,0.247,34077,0.583,13.588,0.447,0.423,0.031,2299,4,0,5.098,17.6,-10.714,0.053,0.02,9043,-0.062,0.608,0.083,0.185,0.003,0.011,0.015,0.047,-0.988,0.529,0.003,0.312,0.112,0.475,-89.90184784,30.04193306
3400,Houma,0.113469154,LA,271365,1,0.177,0.04,0.034,0.043,0.414,28094,0.486,13.738,0.349,0.526,0.026,2350,4,0,4.086,17,-11.857,0.038,0.015,1744,0.008,0.569,0.113,0.11,0.003,0.009,0.012,0.015,-1.247,0.737,0.003,0.214,0.091,0.558,-90.86232758,29.54486465
3500,Baton Rouge,0.060396895,LA,806561,1,0.292,0.084,0.084,0.081,0.258,31579,0.515,11.425,0.4,0.443,0.024,1821,4,0,4.793,17.1,-11.033,0.041,0.02,2442,0.03,0.618,0.116,0.375,0.003,0.013,0.012,0.024,-1.168,0.513,0.004,0.266,0.097,0.513,-91.1708374,30.55099297
3600,Alexandria,0.067212842,LA,186516,1,0.263,0.057,0.058,0.053,0.343,28236,0.546,13.78,0.408,0.449,0.021,1722,4,0,4.587,16.9,-6.213,0.042,0.021,3525,-0.057,0.548,0.072,0.197,0.003,0.011,0.012,0.012,-0.97,0.611,0.004,0.281,0.098,0.53,-92.33112335,31.32106018
3700,Lake Charles,0.09711846,LA,335960,1,0.239,0.047,0.044,0.051,0.369,29462,0.442,10.245,0.34,0.517,0.026,1823,4,0,4.854,16.3,-1.394,0.014,0.018,2438,-0.005,0.59,0.125,0.357,0.003,0.018,0.023,0.016,-1.312,0.6,0.002,0.225,0.098,0.572,-93.31432343,30.65583992
3800,Lafayette,0.095053539,LA,548154,1,0.194,0.059,0.058,0.058,0.339,28712,0.547,14.406,0.403,0.47,0.02,2106,4,0,4.335,17,-6.928,0.031,0.018,1822,-0.034,0.58,0.082,0.209,0.002,0.01,0.01,0.016,-0.997,0.8,0.003,0.258,0.097,0.538,-91.95385742,30.21782875
3901,Monroe,0.055185098,LA,253878,1,0.32,0.07,0.066,0.075,0.341,29496,0.571,15.644,0.414,0.414,0.019,1532,4,0,4.623,17,-6.315,0.046,0.02,1720,-0.055,0.586,0.121,0.295,0.002,0.011,0.015,0.009,-0.459,0.583,0.004,0.307,0.094,0.527,-91.72626495,32.35515976
3902,Lake Providence,0.057306591,LA,21735,0,0.266,0.024,0.023,0.025,0.393,21037,0.461,8.917,0.371,0.348,0.027,1946,4,0,4.4,16.2,-5.451,0.055,NA,NA,NA,0.477,0.096,2.112,0.003,0.008,0.013,0.006,-0.426,0.608,0.003,0.317,0.076,0.541,-91.26551819,32.77008438
4001,Magnolia,0.060388945,AR,34162,0,0.071,0.022,0.018,0.027,0.463,29001,0.446,7.52,0.371,0.469,0.011,1256,1,0,4.759,16.6,-11.371,0,0.029,2304,-0.02,0.557,0.252,1.749,0.002,0.01,0.016,0.009,-0.504,0.618,0.005,0.277,0.092,0.524,-93.62854767,33.26146698
4002,Shreveport,0.052718505,LA,499101,1,0.237,0.083,0.075,0.089,0.312,31565,0.535,12.701,0.408,0.446,0.023,1945,4,0,4.655,17.4,-12.555,0.049,0.016,2514,-0.106,0.596,0.123,1.146,0.002,0.012,0.013,0.015,-0.753,0.546,0.003,0.327,0.11,0.501,-93.1822052,32.00019455
4003,Ruston,0.068827927,LA,74800,0,0.207,0.04,0.04,0.038,0.464,24715,0.511,11.456,0.396,0.466,0.017,1398,4,0,4.639,15.5,-4.971,0.02,0.053,2677,0.035,0.554,0.139,0.794,0.002,0.016,0.021,0.014,-0.936,0.568,0.003,0.287,0.08,0.487,-92.67482758,32.18477631
4004,Many,0.151607961,LA,23459,0,0.16,0.018,0.022,0.009,0.306,30067,0.438,9.71,0.341,0.509,0.019,1853,4,0,4.458,16,-9.206,0.027,0.043,520,NA,0.507,0.127,1.441,0.002,0.016,0.014,0.009,-1.556,0.709,0.003,0.236,0.09,0.594,-93.65673065,31.47786903
4101,Crossett,0.041538462,AR,24209,0,0.054,0.011,0.009,0.015,0.502,30093,0.44,7.41,0.366,0.496,0.015,1467,1,0,4.643,17.4,-11.593,0.009,NA,NA,NA,0.561,0.275,1.062,0.003,0.01,0.017,0.023,-0.183,0.799,0.002,0.225,0.097,0.59,-92.00921631,33.19678116
4102,Pine Bluff,0.042829827,AR,168122,1,0.238,0.046,0.042,0.048,0.396,27099,0.454,8.256,0.371,0.444,0.015,1370,1,0,5.002,18,-15.882,0.009,0.018,2089,-0.041,0.548,0.209,0.869,0.003,0.007,0.013,0.016,-0.923,0.525,0.003,0.317,0.107,0.521,-91.53390503,33.65812683
4103,El Dorado,0.056633048,AR,89373,0,0.093,0.022,0.023,0.023,0.437,30514,0.449,9.389,0.355,0.495,0.013,1390,1,0,4.725,16.6,-9.728,0.005,0.022,1244,-0.069,0.562,0.272,1.452,0.003,0.009,0.013,0.01,-0.212,0.672,0.002,0.27,0.106,0.555,-92.50114441,33.57840347
4200,Little Rock,0.053561717,AR,630854,1,0.278,0.073,0.065,0.077,0.293,36101,0.484,11.732,0.367,0.505,0.017,1687,1,0,5.365,17.4,-9.092,0.007,0.017,4961,-0.114,0.663,0.114,1.353,0.004,0.02,0.018,0.023,-0.047,0.577,0.003,0.247,0.12,0.563,-92.6370163,34.7950592
4301,Stuttgart,0.053962901,AR,40542,0,0.113,0.018,0.023,0.015,0.529,30500,0.445,9.649,0.349,0.474,0.013,1427,1,0,4.673,15.9,-12.254,0.013,NA,NA,NA,0.578,0.2,6.22,0.004,0.012,0.016,0.004,-0.367,0.658,0.001,0.274,0.111,0.568,-91.34266663,34.43963242
4302,Searcy,0.089104541,AR,94324,0,0.135,0.027,0.025,0.029,0.421,28365,0.434,8.856,0.346,0.514,0.012,1252,1,0,4.533,17.1,3.54,0.007,0.021,5684,0.059,0.595,0.183,1.798,0.004,0.019,0.02,0.012,-0.742,0.61,0.001,0.197,0.105,0.615,-91.45471954,35.38779831
4401,London,0.063895308,KY,144931,0,0.105,0.028,0.026,0.025,0.345,22044,0.511,13.431,0.377,0.475,0.009,1164,0.2,0,6.015,16.7,-2.237,0.016,0.014,10136,0.028,0.492,0.164,0.275,0.003,0.007,0.006,0.007,-1.462,0.507,0,0.201,0.107,0.609,-84.00449371,37.02429962
4402,Richmond,0.059086841,KY,116256,0,0.105,0.051,0.047,0.058,0.35,25664,0.423,7.78,0.345,0.509,0.013,1205,0.2,0,5.932,15.9,-0.157,-0.003,0.017,1729,0.067,0.594,0.205,2.076,0.003,0.02,0.016,0.01,-1.328,0.413,0.002,0.205,0.107,0.555,-84.13470459,37.58928299
4501,West Liberty,0.068438537,KY,49887,0,0.157,0.011,0.009,0.01,0.295,20802,0.508,16.386,0.344,0.456,0.009,1272,0.2,0,6.784,14.8,-5.552,0.03,0.02,3750,-0.176,0.423,0.138,0.388,0.002,0.004,0.007,0.005,-1.289,0.214,0,0.199,0.112,0.588,-83.35540009,37.66867828
4502,Hazard,0.130659372,KY,117919,0,0.096,0.014,0.011,0.011,0.315,20987,0.445,9.422,0.35,0.501,0.011,1264,0.2,0,6.442,15.2,-7.906,0.01,0.025,1610,-0.005,0.421,0.058,0.009,0.002,0.004,0.006,0.005,-1.348,0.351,0,0.192,0.102,0.589,-83.1802063,37.15041733
4601,Campbellsville,0.071428575,KY,83451,0,0.067,0.01,0.007,0.01,0.404,26923,0.394,8.527,0.309,0.524,0.009,1624,0.2,0,5.746,15.5,0.819,0.006,0.024,9292,0.049,0.571,0.232,1.489,0.004,0.006,0.006,0.01,-0.499,0.637,0.001,0.191,0.11,0.605,-85.2498703,37.22867584
4602,Somerset,0.06271451,KY,123981,0,0.047,0.021,0.016,0.024,0.372,24892,0.466,11.635,0.35,0.48,0.012,1271,0.2,0,5.814,16.6,-2.443,0.01,0.008,1150,-0.028,0.529,0.248,1.471,0.003,0.006,0.006,0.008,-1.14,0.538,0.001,0.191,0.107,0.612,-84.5739975,36.70191956
4701,Greenwood,0.03311066,MS,84168,0,0.223,0.045,0.043,0.047,0.435,25756,0.539,13.772,0.402,0.378,0.016,2172,0,0,4.481,18.5,-17.145,0.042,0.012,2746,0.03,0.547,0.228,1.389,0.003,0.008,0.013,0.009,-0.764,0.474,0.002,0.381,0.087,0.468,-90.01634979,33.54301834
4702,Clarksdale,0.027132504,MS,141711,0,0.141,0.022,0.022,0.023,0.41,25222,0.52,12.888,0.391,0.373,0.016,1928,0,0,4.294,18.5,-17.675,-0.001,0.014,2889,0.21,0.553,0.175,1.789,0.003,0.013,0.016,0.011,-0.761,0.444,0.001,0.357,0.083,0.449,-90.24879456,34.18486786
4800,Greenville,0.02210159,MS,146833,0,0.218,0.046,0.042,0.053,0.498,23169,0.525,11.211,0.413,0.314,0.017,1800,0,0,4.344,18.7,-20.082,0.011,0.014,1419,-0.014,0.534,0.188,0.853,0.002,0.007,0.014,0.007,-1.051,0.373,0.002,0.434,0.083,0.402,-90.98786926,33.28744507
4901,Jackson,0.047488127,TN,198166,1,0.223,0.065,0.062,0.066,0.366,31754,0.474,12.857,0.345,0.526,0.02,3444,0,0,4.965,NA,-8.155,-0.009,0.025,6396,-0.02,0.614,0.259,2.155,0.004,0.016,0.015,0.017,-0.251,0.57,0.003,0.269,0.113,0.54,-88.89842224,35.67811584
4902,Dyersburg,0.043111529,TN,92131,0,0.16,0.018,0.015,0.022,0.442,26597,0.417,9.444,0.323,0.508,0.017,2162,0,0,4.951,NA,-3.103,-0.005,0.011,1294,-0.261,0.566,0.316,1.984,0.003,0.015,0.017,0.011,-1.445,0.504,0.004,0.3,0.121,0.533,-89.58396149,35.93906403
4903,Lexington,0.081659973,TN,44884,0,0.078,0.011,0.012,0.012,0.341,31853,0.317,6.22,0.255,0.616,0.013,1722,0,0,3.92,NA,1.607,-0.022,NA,NA,NA,0.596,0.32,5.472,0.004,0.013,0.011,0.009,-1.398,0.507,0.002,0.194,0.121,0.611,-88.06002045,35.61417389
5000,Tupelo,0.043573417,MS,197774,0,0.123,0.022,0.019,0.023,0.341,30736,0.457,11.467,0.342,0.517,0.013,1984,0,0,4.352,17.9,-8.12,-0.008,0.01,950,-0.129,0.627,0.364,4.838,0.003,0.011,0.011,0.011,-0.694,0.644,0.001,0.246,0.108,0.569,-88.69317627,34.01062012
5100,Corinth,0.06576325,MS,129508,0,0.128,0.013,0.016,0.01,0.372,28904,0.426,12.3,0.303,0.546,0.013,2222,0,0,4.329,16.7,-1.45,-0.016,0.008,1080,-0.159,0.574,0.336,7.028,0.004,0.011,0.009,0.008,-0.766,0.618,0.001,0.195,0.113,0.599,-88.3704834,35.05685425
5201,New Albany,0.054625552,MS,54214,1,0.088,0.011,0.012,0.01,0.299,27596,0.389,9.491,0.294,0.557,0.01,2149,0,0,4.111,18.4,-1.196,-0.014,0.018,5250,0.145,0.577,0.381,4.226,0.003,0.021,0.016,0.017,0.047,0.734,0.002,0.196,0.092,0.6,-88.96955872,34.65546799
5202,Memphis,0.028182739,TN,1154338,1,0.36,0.137,0.129,0.148,0.224,37116,0.586,17.031,0.415,0.449,0.021,2868,0,0,4.768,19.7,-15.57,0.02,0.013,4191,-0.132,0.654,0.116,1.263,0.004,0.018,0.017,0.033,-0.71,0.425,0.002,0.322,0.106,0.492,-90.06506348,35.03543854
5300,West Memphis,0.032014072,AR,138746,1,0.199,0.045,0.046,0.052,0.416,25942,0.458,8.066,0.377,0.386,0.015,1540,1,0,4.632,17.2,-14.367,0.024,0.022,1037,-0.183,0.549,0.158,4.292,0.003,0.011,0.017,0.009,-1.195,0.476,0.002,0.368,0.097,0.513,-90.59623718,34.76055145
5401,Bowling Green,0.064267352,KY,164944,1,0.123,0.05,0.044,0.056,0.375,31026,0.454,12.093,0.333,0.551,0.013,1675,0.2,0,5.925,17.3,3.097,-0.008,0.012,2232,0.04,0.648,0.245,0.749,0.004,0.015,0.013,0.027,-0.747,0.528,0.001,0.203,0.105,0.574,-86.36134338,36.97420883
