"","temp3pm","day_of_year"
"1",16.7,295
"2",16.4,181
"3",19.3,162
"4",16.8,182
"5",25.5,29
"6",22.8,34
"7",13.2,213
"8",14.7,195
"9",16.8,191
"10",19.1,214
"11",15.9,159
"12",19.3,272
"13",17,170
"14",15.1,202
"15",13,205
"16",20.5,90
"17",20.9,267
"18",20.3,235
"19",21.4,280
"20",23.1,28
"21",19.6,309
"22",13.6,207
"23",14.8,172
"24",18.5,226
"25",22.2,5
"26",19.1,99
"27",21.6,44
"28",21.5,86
"29",23,76
"30",20.1,310
"31",20.2,56
"32",17.8,281
"33",18.5,181
"34",19.5,111
"35",12.4,172
"36",22,304
"37",19.9,287
"38",24.1,43
"39",17.5,246
"40",18.5,91
